method,resize_ratio,region_threshold,bbox_padding,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
final,0.5,0.1,0,334,98.8,76.65,88.32,88.92,0.4315,0.2023,0.0001,0.634,7.48,1.86,9.34,2025-09-16 23:28:50
final,0.5,0.2,0,334,98.2,76.65,88.32,88.32,0.4302,0.1871,0.0001,0.6174,7.48,1.49,8.97,2025-09-16 23:28:30
final,0.5,0.3,0,334,97.9,76.65,87.43,88.02,0.4336,0.1858,0.0001,0.6196,7.48,1.34,8.82,2025-09-16 23:28:24
final,0.5,0.4,0,334,96.71,76.65,88.02,88.32,0.4325,0.1817,0.0001,0.6143,7.48,1.24,8.72,2025-09-16 23:28:25

final,0.5,0.1,0,334,98.8,76.65,88.32,88.92,0.4315,0.2023,0.0001,0.634,7.48,1.86,9.34,2025-09-16 23:28:50
final,0.5,0.1,10,334,98.8,76.65,88.92,89.22,0.4292,0.2063,0.0001,0.6356,7.48,2.01,9.5,2025-09-16 23:58:31
final,0.5,0.1,20,334,99.1,76.65,91.02,91.32,0.4298,0.2124,0.0001,0.6424,7.48,2.15,9.63,2025-09-16 23:58:44
final,0.5,0.1,30,334,99.1,76.65,89.52,87.72,0.4333,0.2166,0.0001,0.65,7.48,2.3,9.78,2025-09-16 23:58:57
final,0.5,0.1,40,334,99.1,76.65,91.32,90.12,0.4322,0.2256,0.0001,0.658,7.48,2.52,10.0,2025-09-16 23:59:15
final,0.5,0.1,50,334,99.1,76.65,89.22,90.72,0.4325,0.2303,0.0001,0.6629,7.48,2.78,10.26,2025-09-17 00:48:11
final,0.5,0.1,60,334,99.1,76.65,89.82,89.82,0.4266,0.2268,0.0001,0.6535,7.48,2.85,10.33,2025-09-17 00:48:10
final,0.5,0.1,70,334,99.1,76.65,89.52,88.92,0.4344,0.2459,0.0001,0.6804,7.48,3.11,10.59,2025-09-17 00:48:54
final,0.5,0.1,80,334,99.1,76.65,90.42,90.42,0.4367,0.2577,0.0001,0.6945,7.48,3.43,10.91,2025-09-17 00:49:15

final,0.3,0.1,0,334,97.6,44.31,88.02,87.43,0.2508,0.3194,0.0001,0.5703,2.95,4.88,7.84,2025-09-17 02:02:42
final,0.35,0.1,0,334,97.31,58.38,86.83,86.23,0.281,0.2554,0.0001,0.5365,3.81,3.23,7.04,2025-09-17 02:03:04
final,0.4,0.1,0,334,97.6,63.47,88.02,88.32,0.3249,0.2292,0.0001,0.5542,4.85,2.53,7.37,2025-09-17 02:04:40
final,0.45,0.1,0,334,98.5,70.96,87.13,87.72,0.3698,0.2117,0.0001,0.5817,6.01,2.18,8.19,2025-09-17 02:06:21

final,0.3,0.1,10,334,97.6,44.31,87.72,87.72,0.252,0.3284,0.0001,0.5805,2.95,5.13,8.08,2025-09-17 02:22:28
final,0.35,0.1,10,334,97.31,58.38,86.83,86.23,0.2788,0.2565,0.0001,0.5354,3.81,3.39,7.2,2025-09-17 02:22:45
final,0.4,0.1,10,334,97.6,63.47,88.32,88.02,0.3179,0.2281,0.0001,0.5461,4.85,2.7,7.54,2025-09-17 02:25:08
final,0.45,0.1,10,334,98.5,70.96,87.72,89.22,0.3687,0.2196,0.0001,0.5884,6.01,2.37,8.37,2025-09-17 02:28:52

final,0.3,0.1,20,334,97.9,44.31,87.43,87.13,0.252,0.3351,0.0001,0.5872,2.95,5.35,8.3,2025-09-17 02:45:04
final,0.35,0.1,20,334,97.31,58.38,86.83,86.83,0.2835,0.2671,0.0001,0.5507,3.81,3.59,7.4,2025-09-17 02:45:30
final,0.4,0.1,20,334,97.6,63.47,88.92,89.22,0.3235,0.2379,0.0001,0.5616,4.85,2.9,7.74,2025-09-17 02:47:08
final,0.45,0.1,20,334,98.5,70.96,87.43,88.92,0.3707,0.2244,0.0001,0.5953,6.01,2.54,8.55,2025-09-17 02:52:18

final,0.3,0.1,40,334,98.2,44.31,88.32,88.02,0.2514,0.3584,0.0001,0.6099,2.95,5.86,8.81,2025-09-17 01:30:01
final,0.35,0.1,40,334,98.2,58.38,89.22,88.92,0.2809,0.282,0.0001,0.563,3.81,4.05,7.86,2025-09-17 01:30:15
final,0.4,0.1,40,334,97.6,63.47,88.92,89.52,0.3193,0.2497,0.0001,0.5691,4.85,3.28,8.12,2025-09-17 01:31:30
final,0.45,0.1,40,334,98.5,70.96,88.32,88.92,0.3707,0.2377,0.0001,0.6085,6.01,2.93,8.94,2025-09-17 01:33:08
