method,resize_ratio,region_threshold,bbox_padding,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
final,0.5,0.1,0,501,97.21,92.42,90.82,92.02,0.7305,0.237,0.0002,0.9676,14.34,2.96,17.3,2025-09-16 23:14:29
final,0.5,0.2,0,501,97.01,92.42,92.02,92.42,0.7343,0.2139,0.0002,0.9483,14.34,2.32,16.66,2025-09-16 23:14:15
final,0.5,0.3,0,501,96.81,92.42,92.81,93.01,0.7396,0.2035,0.0002,0.9433,14.34,1.98,16.32,2025-09-16 23:14:03
final,0.5,0.4,0,501,96.61,92.42,93.41,93.41,0.7309,0.1952,0.0002,0.9262,14.34,1.75,16.08,2025-09-16 23:14:15

final,0.5,0.1,10,501,97.41,92.42,90.02,92.61,0.7366,0.2499,0.0002,0.9866,14.34,3.29,17.63,2025-09-16 23:44:03
final,0.5,0.1,20,501,97.6,92.42,88.62,92.22,0.7323,0.2566,0.0002,0.9891,14.34,3.4,17.74,2025-09-16 23:44:10
final,0.5,0.1,30,501,97.6,92.42,89.62,91.82,0.7372,0.2621,0.0002,0.9996,14.34,3.7,18.03,2025-09-16 23:44:20
final,0.5,0.1,40,501,97.6,92.42,89.42,92.42,0.7332,0.2792,0.0002,1.0126,14.34,4.1,18.43,2025-09-16 23:44:31
final,0.5,0.1,50,501,97.6,92.42,89.42,91.22,0.7333,0.2897,0.0002,1.0232,14.34,4.52,18.85,2025-09-17 00:33:19
final,0.5,0.1,60,501,97.6,92.42,90.22,92.02,0.7361,0.289,0.0002,1.0253,14.34,4.56,18.89,2025-09-17 00:33:26
final,0.5,0.1,70,501,97.6,92.42,90.02,91.02,0.7336,0.3128,0.0002,1.0466,14.34,4.99,19.32,2025-09-17 00:33:41
final,0.5,0.1,80,501,97.6,92.42,89.42,91.82,0.7347,0.3294,0.0002,1.0643,14.34,5.43,19.77,2025-09-17 00:33:54

final,0.3,0.1,0,501,98.2,89.22,89.82,91.22,0.3435,0.2888,0.0001,0.6324,5.27,4.15,9.42,2025-09-17 01:51:54
final,0.35,0.1,0,501,97.41,89.82,90.02,92.02,0.3988,0.2602,0.0001,0.6591,7.0,3.55,10.55,2025-09-17 01:52:09
final,0.4,0.1,0,501,97.41,91.62,88.62,91.02,0.4752,0.2532,0.0001,0.7285,8.82,3.37,12.19,2025-09-17 01:52:45
final,0.45,0.1,0,501,97.6,91.82,91.22,92.02,0.593,0.2442,0.0001,0.8373,11.47,3.15,14.62,2025-09-17 01:53:43

final,0.3,0.1,10,501,98.2,89.22,91.02,92.22,0.3425,0.2954,0.0001,0.638,5.27,4.4,9.67,2025-09-17 02:11:33
final,0.35,0.1,10,501,97.41,89.82,90.42,92.42,0.3978,0.268,0.0001,0.666,7.0,3.78,10.79,2025-09-17 02:11:50
final,0.4,0.1,10,501,97.41,91.62,88.42,90.42,0.4704,0.2565,0.0001,0.7271,8.82,3.58,12.4,2025-09-17 02:13:15
final,0.45,0.1,10,501,97.6,91.82,90.22,91.42,0.5917,0.2508,0.0002,0.8427,11.47,3.37,14.84,2025-09-17 02:16:09

final,0.3,0.1,20,501,98.2,89.22,90.02,91.42,0.3436,0.3041,0.0001,0.6478,5.27,4.69,9.96,2025-09-17 02:34:05
final,0.35,0.1,20,501,97.41,89.82,89.82,91.22,0.4006,0.2803,0.0001,0.681,7.0,4.11,11.12,2025-09-17 02:34:24
final,0.4,0.1,20,501,97.6,91.62,89.62,91.02,0.4781,0.2734,0.0001,0.7517,8.82,3.86,12.68,2025-09-17 02:35:01
final,0.45,0.1,20,501,97.6,91.82,89.82,91.82,0.5967,0.2591,0.0002,0.856,11.47,3.62,15.09,2025-09-17 02:39:19

final,0.3,0.1,40,501,98.2,89.22,91.22,92.02,0.3396,0.3315,0.0001,0.6712,5.27,5.37,10.64,2025-09-17 01:18:43
final,0.35,0.1,40,501,97.6,89.82,89.42,91.42,0.4012,0.3007,0.0001,0.7021,7.0,4.66,11.66,2025-09-17 01:18:53
final,0.4,0.1,40,501,97.6,91.62,88.02,90.22,0.4734,0.2919,0.0001,0.7654,8.82,4.41,13.22,2025-09-17 01:19:18
final,0.45,0.1,40,501,97.8,91.82,89.82,92.61,0.5931,0.2793,0.0002,0.8725,11.47,4.19,15.66,2025-09-17 01:20:07
