method,resize_ratio,region_threshold,bbox_padding,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
final,0.5,0.1,0,437,97.94,83.75,89.02,90.16,0.8763,0.2237,0.0002,1.1002,17.37,2.33,19.7,2025-09-16 23:24:12
final,0.5,0.2,0,437,96.34,83.75,89.02,89.7,0.8908,0.2066,0.0002,1.0976,17.37,1.93,19.3,2025-09-16 23:23:58
final,0.5,0.3,0,437,95.88,83.75,88.79,89.02,0.8973,0.2015,0.0002,1.0991,17.37,1.74,19.11,2025-09-16 23:23:50
final,0.5,0.4,0,437,94.97,83.75,87.87,87.64,0.8908,0.1966,0.0002,1.0876,17.37,1.62,18.99,2025-09-16 23:23:53

final,0.5,0.1,10,437,97.94,83.75,88.79,89.7,0.8853,0.2321,0.0002,1.1176,17.37,2.57,19.94,2025-09-16 23:53:53
final,0.5,0.1,20,437,97.94,83.75,88.56,91.08,0.8853,0.2374,0.0002,1.1229,17.37,2.66,20.03,2025-09-16 23:54:04
final,0.5,0.1,30,437,97.94,83.75,88.79,90.62,0.8842,0.2432,0.0002,1.1276,17.37,2.93,20.3,2025-09-16 23:54:15
final,0.5,0.1,40,437,98.17,83.75,89.93,91.53,0.8759,0.2559,0.0002,1.132,17.37,3.25,20.62,2025-09-16 23:54:30
final,0.5,0.1,50,437,98.17,83.75,87.87,90.16,0.8865,0.2651,0.0002,1.1518,17.37,3.58,20.94,2025-09-17 00:43:25
final,0.5,0.1,60,437,98.4,83.75,87.64,89.7,0.876,0.2638,0.0002,1.14,17.37,3.67,21.04,2025-09-17 00:43:26
final,0.5,0.1,70,437,98.4,83.75,89.02,91.08,0.8918,0.2885,0.0002,1.1805,17.37,4.02,21.39,2025-09-17 00:44:00
final,0.5,0.1,80,437,98.63,83.75,88.33,89.93,0.8877,0.3014,0.0002,1.1893,17.37,4.48,21.85,2025-09-17 00:44:17

final,0.3,0.1,0,437,95.65,74.14,85.13,86.04,0.3551,0.3039,0.0001,0.6591,5.67,4.15,9.82,2025-09-17 01:58:25
final,0.35,0.1,0,437,96.11,77.8,86.27,87.41,0.4342,0.2687,0.0001,0.7031,7.93,3.36,11.28,2025-09-17 01:58:59
final,0.4,0.1,0,437,95.88,81.01,85.81,89.02,0.5736,0.2512,0.0001,0.825,10.7,2.92,13.62,2025-09-17 02:00:28
final,0.45,0.1,0,437,97.03,81.69,86.96,88.33,0.6811,0.2253,0.0002,0.9065,13.29,2.47,15.76,2025-09-17 02:02:01

final,0.3,0.1,10,437,95.88,74.14,85.58,85.58,0.3572,0.3147,0.0001,0.672,5.67,4.47,10.14,2025-09-17 02:18:08
final,0.35,0.1,10,437,96.11,77.8,85.58,86.73,0.4333,0.2724,0.0001,0.7058,7.93,3.5,11.43,2025-09-17 02:18:40
final,0.4,0.1,10,437,95.88,81.01,85.81,87.19,0.5733,0.2558,0.0001,0.8292,10.7,3.18,13.88,2025-09-17 02:20:59
final,0.45,0.1,10,437,97.03,81.69,87.41,88.56,0.6782,0.2362,0.0002,0.9146,13.29,2.68,15.98,2025-09-17 02:24:30

final,0.3,0.1,20,437,96.11,74.14,85.81,86.5,0.3543,0.3204,0.0001,0.6748,5.67,4.72,10.39,2025-09-17 02:40:41
final,0.35,0.1,20,437,96.11,77.8,83.75,86.27,0.4373,0.2821,0.0001,0.7195,7.93,3.76,11.69,2025-09-17 02:41:20
final,0.4,0.1,20,437,95.88,81.01,86.96,88.1,0.5803,0.2694,0.0001,0.8498,10.7,3.39,14.09,2025-09-17 02:42:55
final,0.45,0.1,20,437,97.03,81.69,87.64,89.7,0.6899,0.2452,0.0002,0.9353,13.29,2.93,16.22,2025-09-17 02:47:53

final,0.3,0.1,40,437,96.34,74.14,85.13,85.13,0.3522,0.3485,0.0001,0.7008,5.67,5.35,11.01,2025-09-17 01:25:31
final,0.35,0.1,40,437,96.34,77.8,86.27,88.33,0.4407,0.3095,0.0001,0.7504,7.93,4.4,12.32,2025-09-17 01:26:02
final,0.4,0.1,40,437,95.88,81.01,86.73,87.87,0.5756,0.2826,0.0002,0.8584,10.7,3.93,14.63,2025-09-17 01:27:14
final,0.45,0.1,40,437,97.71,81.69,86.5,88.1,0.678,0.2613,0.0002,0.9394,13.29,3.43,16.72,2025-09-17 01:28:39
