model_name,experiment,resize_ratio,region_threshold,bbox_padding,ensemble_ratio,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
gui-actor-2B+GOLD,eval,0.3,0.12,0,0.7,1272,96.7,71.23,86.08,85.14,0.2377,0.2241,0.0001,0.4619,3.36,3.13,6.49,2025-09-24 02:56:11
gui-actor-2B+GOLD,eval,0.5,0.12,0,0.7,1272,96.86,83.73,85.69,87.5,0.4964,0.1799,0.0002,0.6765,10.26,1.78,12.04,2025-09-24 01:28:18
gui-actor-2B+GOLD,message-2B,0.5,0.12,0,0.7,1272,97.17,84.43,86.79,87.97,0.4882,0.1736,0.0002,0.662,10.07,1.55,11.62,2025-09-24 15:21:02

gui-actor-3B+GOLD,eval,0.3,0.12,0,0.7,1272,96.62,72.25,88.36,87.97,0.3363,0.2994,0.0001,0.6358,4.8,3.99,8.79,2025-09-24 02:23:02
gui-actor-3B+GOLD,eval,0.5,0.12,0,0.7,1272,97.8,85.3,89.62,91.43,0.716,0.224,0.0002,0.9401,13.58,2.32,15.9,2025-09-24 01:52:08

gui-actor-3B+GOLD,4-direction BFS,0.5,0.12,0,0.7,1272,97.8,85.3,89.47,91.19,0.7312,0.2249,0.0002,0.9562,13.58,2.31,15.89,2025-09-24 04:13:28
gui-actor-3B+GOLD,no_additional_prompt,0.5,0.12,0,0.7,1272,97.88,85.53,88.99,90.88,0.7474,0.233,0.0002,0.9806,13.46,2.19,15.65,2025-09-24 04:26:38
gui-actor-2B+GOLD,message-2B,0.5,0.12,0,0.7,1272,97.17,84.43,86.79,87.97,0.4926,0.174,0.0002,0.6667,10.07,1.55,11.62,2025-09-24 17:10:01

gui-actor-3B+GOLD,resize_ablation,0.3,0.12,0,0.7,1272,96.62,72.25,88.36,87.97,0.3359,0.3005,0.0001,0.6366,4.8,3.99,8.79,2025-09-23 17:13:31
gui-actor-3B+GOLD,resize_ablation,0.4,0.12,0,0.7,1272,96.7,80.58,88.29,88.92,0.4798,0.2466,0.0002,0.7265,8.42,2.78,11.2,2025-09-23 17:33:52
gui-actor-3B+GOLD,resize_ablation,0.5,0.12,0,0.7,1272,97.8,85.3,89.62,91.43,0.722,0.2284,0.0002,0.9507,13.58,2.32,15.9,2025-09-23 17:58:59
gui-actor-3B+GOLD,resize_ablation,0.6,0.12,0,0.7,1272,98.27,88.05,90.64,91.51,1.1288,0.2225,0.0003,1.3516,20.74,2.18,22.92,2025-09-23 18:32:30
gui-actor-3B+GOLD,resize_ablation,0.7,0.12,0,0.7,1272,98.27,89.78,89.39,91.27,1.6101,0.2174,0.0003,1.8278,30.48,2.02,32.5,2025-09-23 17:38:49
gui-actor-3B+GOLD,resize_ablation,0.8,0.12,0,0.7,1272,97.72,90.09,90.41,91.35,2.5955,0.2179,0.0004,2.8138,43.39,2.03,45.42,2025-09-23 18:43:26
gui-actor-3B+GOLD,resize_ablation,0.9,0.12,0,0.7,1272,97.56,89.86,90.25,91.98,3.4464,0.216,0.0005,3.6629,60.26,1.98,62.24,2025-09-23 18:17:43
gui-actor-3B+GOLD,resize_ablation,1.0,0.12,0,0.7,1272,97.48,90.8,90.09,91.75,4.3986,0.2146,0.0005,4.6138,71.53,1.99,73.53,2025-09-23 18:37:55

gui-actor-2B+GOLD,resize_ratio,0.3,0.12,0,0.7,1272,96.78,70.44,86.95,86.4,0.2311,0.219,0.0001,0.4503,3.18,2.91,6.09,2025-09-24 17:32:32
gui-actor-2B+GOLD,resize_ratio,0.4,0.12,0,0.7,1272,96.15,80.35,86.56,87.89,0.3252,0.1856,0.0001,0.511,5.98,1.9,7.87,2025-09-24 17:47:44
gui-actor-2B+GOLD,resize_ratio,0.5,0.12,0,0.7,1272,97.17,84.43,86.79,87.97,0.4881,0.1746,0.0002,0.6628,10.07,1.55,11.62,2025-09-24 18:06:10
gui-actor-2B+GOLD,resize_ratio,0.6,0.12,0,0.7,1272,97.33,86.95,86.64,88.68,0.8187,0.1694,0.0002,0.9884,15.89,1.35,17.24,2025-09-24 18:31:27
gui-actor-2B+GOLD,resize_ratio,0.7,0.12,0,0.7,1272,97.01,86.71,87.66,88.99,1.2032,0.1656,0.0003,1.3691,24.0,1.25,25.26,2025-09-24 19:04:54
gui-actor-2B+GOLD,resize_ratio,0.8,0.12,0,0.7,1272,97.48,88.05,87.74,89.39,2.0338,0.1682,0.0004,2.2024,34.97,1.19,36.16,2025-09-24 19:55:57
gui-actor-2B+GOLD,resize_ratio,0.9,0.12,0,0.7,1272,97.09,88.52,86.4,88.36,2.7335,0.1656,0.0005,2.8996,49.52,1.14,50.66,2025-09-24 21:49:10
gui-actor-2B+GOLD,resize_ratio,1.0,0.12,0,0.7,1272,96.62,88.92,86.79,89.07,3.5737,0.1656,0.0005,3.7397,59.29,1.12,60.41,2025-09-24 22:07:25
