model_name,experiment,resize_ratio,region_threshold,bbox_padding,ensemble_ratio,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
gui-actor-2B+GOLD,eval,0.3,0.12,0,0.7,334,95.51,44.61,83.83,78.74,0.191,0.2238,0.0001,0.4149,1.98,3.28,5.26,2025-09-24 02:56:11
gui-actor-2B+GOLD,eval,0.5,0.12,0,0.7,334,96.41,73.05,82.04,83.53,0.3097,0.1651,0.0001,0.475,5.49,1.3,6.79,2025-09-24 01:28:18
gui-actor-2B+GOLD,message-2B,0.5,0.12,0,0.7,334,97.31,74.85,84.43,84.43,0.3031,0.1624,0.0001,0.4656,5.3,1.13,6.43,2025-09-24 15:21:02

gui-actor-3B+GOLD,eval,0.3,0.12,0,0.7,334,97.01,44.31,87.72,85.63,0.2658,0.3141,0.0001,0.58,2.95,4.42,7.37,2025-09-24 02:23:02
gui-actor-3B+GOLD,eval,0.5,0.12,0,0.7,334,98.8,76.65,87.72,89.82,0.445,0.2065,0.0002,0.6516,7.48,1.75,9.23,2025-09-24 01:52:08

gui-actor-3B+GOLD,4-direction BFS,0.5,0.12,0,0.7,334,98.8,76.65,87.13,88.92,0.4498,0.2039,0.0001,0.6539,7.48,1.72,9.2,2025-09-24 04:13:28
gui-actor-3B+GOLD,no_additional_prompt,0.5,0.12,0,0.7,334,98.8,76.95,86.23,87.72,0.54,0.2295,0.0001,0.7696,7.37,1.62,8.98,2025-09-24 04:26:38
gui-actor-2B+GOLD,message-2B,0.5,0.12,0,0.7,334,97.31,74.85,84.43,84.43,0.3037,0.1607,0.0001,0.4645,5.3,1.13,6.43,2025-09-24 17:10:01

gui-actor-3B+GOLD,resize_ablation,0.3,0.12,0,0.7,334,97.01,44.31,87.72,85.63,0.2645,0.3148,0.0001,0.5794,2.95,4.42,7.37,2025-09-23 17:13:31
gui-actor-3B+GOLD,resize_ablation,0.4,0.12,0,0.7,334,97.31,63.47,87.72,85.33,0.3235,0.2225,0.0001,0.5461,4.85,2.3,7.14,2025-09-23 17:33:52
gui-actor-3B+GOLD,resize_ablation,0.5,0.12,0,0.7,334,98.8,76.65,87.72,89.82,0.4554,0.2149,0.0002,0.6705,7.48,1.75,9.23,2025-09-23 17:58:59
gui-actor-3B+GOLD,resize_ablation,0.6,0.12,0,0.7,334,98.8,82.63,90.72,91.92,0.6264,0.2005,0.0002,0.827,11.15,1.49,12.64,2025-09-23 18:32:30
gui-actor-3B+GOLD,resize_ablation,0.7,0.12,0,0.7,334,99.4,87.72,89.82,91.32,0.8557,0.1924,0.0002,1.0483,15.85,1.37,17.23,2025-09-23 17:38:49
gui-actor-3B+GOLD,resize_ablation,0.8,0.12,0,0.7,334,98.5,88.92,89.22,91.62,1.2276,0.1939,0.0002,1.4218,21.82,1.34,23.16,2025-09-23 18:43:26
gui-actor-3B+GOLD,resize_ablation,0.9,0.12,0,0.7,334,98.2,87.43,89.82,92.22,1.5695,0.1894,0.0003,1.7591,28.68,1.28,29.96,2025-09-23 18:17:43
gui-actor-3B+GOLD,resize_ablation,1.0,0.12,0,0.7,334,97.9,90.72,87.72,89.52,2.0102,0.1897,0.0003,2.2003,35.16,1.28,36.44,2025-09-23 18:37:55

gui-actor-2B+GOLD,resize_ratio,0.3,0.12,0,0.7,334,95.81,43.11,83.83,80.84,0.1822,0.2176,0.0001,0.3999,1.8,3.11,4.91,2025-09-24 17:32:32
gui-actor-2B+GOLD,resize_ratio,0.4,0.12,0,0.7,334,95.81,63.77,83.23,82.93,0.2353,0.175,0.0001,0.4103,3.25,1.51,4.76,2025-09-24 17:47:44
gui-actor-2B+GOLD,resize_ratio,0.5,0.12,0,0.7,334,97.31,74.85,84.43,84.43,0.2989,0.1603,0.0001,0.4594,5.3,1.13,6.43,2025-09-24 18:06:10
gui-actor-2B+GOLD,resize_ratio,0.6,0.12,0,0.7,334,97.9,80.24,84.13,83.83,0.4342,0.1532,0.0001,0.5875,8.23,0.81,9.05,2025-09-24 18:31:27
gui-actor-2B+GOLD,resize_ratio,0.7,0.12,0,0.7,334,97.01,83.83,86.23,87.72,0.623,0.1538,0.0002,0.777,12.08,0.78,12.86,2025-09-24 19:04:54
gui-actor-2B+GOLD,resize_ratio,0.8,0.12,0,0.7,334,97.6,85.03,85.63,87.43,0.9202,0.1544,0.0002,1.0748,17.06,0.68,17.74,2025-09-24 19:55:57
gui-actor-2B+GOLD,resize_ratio,0.9,0.12,0,0.7,334,96.71,86.53,84.13,86.53,1.1926,0.1519,0.0003,1.3447,22.83,0.61,23.44,2025-09-24 21:49:10
gui-actor-2B+GOLD,resize_ratio,1.0,0.12,0,0.7,334,96.11,87.72,83.53,87.13,1.5586,0.152,0.0003,1.7108,28.3,0.6,28.9,2025-09-24 22:07:25
