model_name,experiment,resize_ratio,region_threshold,bbox_padding,ensemble_ratio,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
gui-actor-2B+GOLD,eval,0.3,0.12,0,0.7,501,97.21,87.23,88.02,89.22,0.2472,0.2224,0.0001,0.4698,3.71,3.23,6.94,2025-09-24 02:39:24
gui-actor-2B+GOLD,eval,0.5,0.12,0,0.7,501,96.21,89.82,88.42,90.42,0.5079,0.1871,0.0002,0.6951,10.82,2.28,13.1,2025-09-24 01:10:14
gui-actor-2B+GOLD,message-2B,0.5,0.12,0,0.7,501,96.61,90.42,89.22,90.62,0.498,0.1782,0.0002,0.6764,10.62,1.99,12.61,2025-09-24 15:10:04

gui-actor-3B+GOLD,eval,0.3,0.12,0,0.7,501,98.0,89.22,91.02,91.82,0.3559,0.2889,0.0001,0.6449,5.27,3.88,9.15,2025-09-24 02:04:58
gui-actor-3B+GOLD,eval,0.5,0.12,0,0.7,501,97.21,92.42,91.22,93.41,0.7448,0.2366,0.0002,0.9817,14.34,2.8,17.13,2025-09-24 01:31:53

gui-actor-3B+GOLD,4-direction BFS,0.5,0.12,0,0.7,501,97.21,92.42,91.22,93.41,0.7607,0.2382,0.0002,0.9991,14.34,2.79,17.13,2025-09-24 03:37:49
gui-actor-3B+GOLD,no_additional_prompt,0.5,0.12,0,0.7,501,97.21,92.61,90.82,93.61,0.7413,0.2373,0.0002,0.9787,14.22,2.68,16.89,2025-09-24 04:11:07
gui-actor-2B+GOLD,message-2B,0.5,0.12,0,0.7,501,96.61,90.42,89.22,90.62,0.5061,0.1794,0.0002,0.6856,10.62,1.99,12.61,2025-09-24 16:52:00

gui-actor-3B+GOLD,resize_ablation,0.3,0.12,0,0.7,501,98.0,89.22,91.02,91.82,0.3573,0.2916,0.0001,0.6489,5.27,3.88,9.15,2025-09-23 17:02:31
gui-actor-3B+GOLD,resize_ablation,0.4,0.12,0,0.7,501,97.21,91.62,90.22,91.82,0.4944,0.2605,0.0002,0.7551,8.82,3.15,11.97,2025-09-23 17:21:55
gui-actor-3B+GOLD,resize_ablation,0.5,0.12,0,0.7,501,97.21,92.42,91.22,93.41,0.7464,0.2375,0.0002,0.9841,14.34,2.8,17.13,2025-09-23 17:44:08
gui-actor-3B+GOLD,resize_ablation,0.6,0.12,0,0.7,501,98.2,91.82,92.22,92.42,1.1583,0.2405,0.0003,1.3991,21.9,2.79,24.69,2025-09-23 18:12:41
gui-actor-3B+GOLD,resize_ablation,0.7,0.12,0,0.7,501,98.2,93.01,91.02,93.01,1.7646,0.2304,0.0004,1.9954,32.35,2.52,34.87,2025-09-23 17:13:49
gui-actor-3B+GOLD,resize_ablation,0.8,0.12,0,0.7,501,97.6,92.22,91.82,92.61,2.697,0.2344,0.0004,2.9318,46.26,2.57,48.82,2025-09-23 18:05:24
gui-actor-3B+GOLD,resize_ablation,0.9,0.12,0,0.7,501,97.01,92.22,91.02,92.42,3.8176,0.2346,0.0005,4.0527,65.02,2.59,67.61,2025-09-23 17:31:02
gui-actor-3B+GOLD,resize_ablation,1.0,0.12,0,0.7,501,97.41,92.42,91.22,93.61,4.6681,0.2328,0.0006,4.9015,81.94,2.59,84.53,2025-09-23 17:38:08

gui-actor-2B+GOLD,resize_ratio,0.3,0.12,0,0.7,501,97.41,87.62,89.82,90.42,0.2429,0.2168,0.0001,0.4599,3.53,2.99,6.52,2025-09-24 17:24:18
gui-actor-2B+GOLD,resize_ratio,0.4,0.12,0,0.7,501,96.21,89.22,89.42,91.82,0.3265,0.1939,0.0001,0.5205,6.26,2.39,8.65,2025-09-24 17:38:41
gui-actor-2B+GOLD,resize_ratio,0.5,0.12,0,0.7,501,96.61,90.42,89.22,90.62,0.5054,0.1835,0.0002,0.6891,10.62,1.99,12.61,2025-09-24 17:55:20
gui-actor-2B+GOLD,resize_ratio,0.6,0.12,0,0.7,501,97.01,91.02,88.02,90.82,0.8251,0.1816,0.0003,1.007,16.76,1.89,18.65,2025-09-24 18:16:23
gui-actor-2B+GOLD,resize_ratio,0.7,0.12,0,0.7,501,96.21,88.22,89.02,90.02,1.3146,0.1729,0.0003,1.4878,25.43,1.68,27.11,2025-09-24 18:45:43
gui-actor-2B+GOLD,resize_ratio,0.8,0.12,0,0.7,501,96.81,89.42,89.82,90.82,2.0793,0.1788,0.0004,2.2585,37.21,1.71,38.92,2025-09-24 19:25:35
gui-actor-2B+GOLD,resize_ratio,0.9,0.12,0,0.7,501,96.81,89.22,88.82,90.22,3.0455,0.1748,0.0005,3.2208,53.37,1.65,55.02,2025-09-24 21:12:03
gui-actor-2B+GOLD,resize_ratio,1.0,0.12,0,0.7,501,95.81,89.82,90.02,90.22,3.737,0.1715,0.0006,3.9091,68.08,1.54,69.62,2025-09-24 21:18:14

