model,resize_ratio,avg_accuracy,avg_time,avg_tflops,total_samples,timestamp
gui-actor-3B,0.3,72.09,1.6235,4.69,1272,2025-09-24 13:27:07
gui-actor-3B,0.4,80.58,1.7605,8.31,1272,2025-09-24 13:30:04
gui-actor-3B,0.5,85.46,1.9899,13.46,1272,2025-09-24 13:35:08
gui-actor-3B,0.6,87.89,2.409,20.61,1272,2025-09-24 15:30:17
gui-actor-3B,0.7,89.62,2.8823,30.35,1272,2025-09-24 14:53:39
gui-actor-3B,0.8,90.02,3.8621,43.25,1272,2025-09-24 15:14:32
gui-actor-3B,0.9,89.47,4.7054,60.11,1272,2025-09-24 14:33:09
gui-actor-3B,1.0,90.72,5.7279,71.38,1272,2025-09-24 17:36:27

gui-actor-2B,1.0,89.31,4.6027,59.21,1272,2025-09-24 16:38:52
gui-actor-2B,0.3,70.68,1.2233,3.13,1272,2025-09-24 17:46:26
gui-actor-2B,0.4,80.42,1.295,5.92,1272,2025-09-24 18:17:22
gui-actor-2B,0.5,84.51,1.4564,10.01,1272,2025-09-24 18:51:50
gui-actor-2B,0.6,86.79,1.7935,15.83,1272,2025-09-24 19:33:31
gui-actor-2B,0.7,86.95,2.1682,23.94,1272,2025-09-24 20:23:17
gui-actor-2B,0.8,88.05,3.0186,34.9,1272,2025-09-24 21:31:17
gui-actor-2B,0.9,88.76,3.6591,49.44,1272,2025-09-24 22:52:55
