model_name,experiment,resize_ratio,region_threshold,bbox_padding,ensemble_ratio,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
gui-actor-2B+GOLD,eval,0.3,0.12,0,0.7,437,97.03,73.23,85.58,85.35,0.2624,0.2264,0.0001,0.4889,4.02,2.89,6.91,2025-09-24 02:49:12
gui-actor-2B+GOLD,eval,0.5,0.12,0,0.7,437,97.94,84.9,85.35,87.19,0.626,0.183,0.0003,0.8093,13.26,1.58,14.85,2025-09-24 01:21:51
gui-actor-2B+GOLD,message-2B,0.5,0.12,0,0.7,437,97.71,84.9,85.81,87.64,0.6184,0.1769,0.0002,0.7955,13.07,1.38,14.44,2025-09-24 15:17:26

gui-actor-3B+GOLD,eval,0.3,0.12,0,0.7,437,94.74,74.14,85.81,85.35,0.3677,0.3001,0.0001,0.6679,5.67,3.8,9.47,2025-09-24 02:15:12
gui-actor-3B+GOLD,eval,0.5,0.12,0,0.7,437,97.71,83.75,89.24,90.39,0.8899,0.2229,0.0002,1.1131,17.37,2.21,19.58,2025-09-24 01:45:05

gui-actor-3B+GOLD,4-direction BFS,0.5,0.12,0,0.7,437,97.71,83.75,89.24,90.39,0.9124,0.2256,0.0003,1.1382,17.37,2.21,19.58,2025-09-24 04:02:02
gui-actor-3B+GOLD,no_additional_prompt,0.5,0.12,0,0.7,437,97.94,83.98,89.02,90.16,0.9129,0.2307,0.0003,1.1438,17.25,2.08,19.33,2025-09-24 04:21:14
gui-actor-2B+GOLD,message-2B,0.5,0.12,0,0.7,437,97.71,84.9,85.81,87.64,0.6214,0.178,0.0002,0.7997,13.07,1.38,14.44,2025-09-24 17:03:44

gui-actor-3B+GOLD,resize_ablation,0.3,0.12,0,0.7,437,94.74,74.14,85.81,85.35,0.3661,0.2999,0.0001,0.6661,5.67,3.8,9.47,2025-09-23 17:09:08
gui-actor-3B+GOLD,resize_ablation,0.4,0.12,0,0.7,437,95.65,81.01,86.5,88.33,0.5824,0.2492,0.0002,0.8317,10.7,2.71,13.41,2025-09-23 17:29:43
gui-actor-3B+GOLD,resize_ablation,0.5,0.12,0,0.7,437,97.71,83.75,89.24,90.39,0.8979,0.2284,0.0002,1.1265,17.37,2.21,19.58,2025-09-23 17:54:05
gui-actor-3B+GOLD,resize_ablation,0.6,0.12,0,0.7,437,97.94,87.87,88.79,90.16,1.4791,0.2188,0.0003,1.6981,26.73,2.0,28.73,2025-09-23 18:26:45
gui-actor-3B+GOLD,resize_ablation,0.7,0.12,0,0.7,437,97.48,87.64,87.19,89.24,2.0095,0.2215,0.0004,2.2314,39.51,1.95,41.46,2025-09-23 17:31:52
gui-actor-3B+GOLD,resize_ablation,0.8,0.12,0,0.7,437,97.25,88.56,89.7,89.7,3.5246,0.2172,0.0005,3.7423,56.59,1.94,58.53,2025-09-23 18:34:23
gui-actor-3B+GOLD,resize_ablation,0.9,0.12,0,0.7,437,97.71,89.02,89.7,91.3,4.4554,0.2152,0.0006,4.6712,78.93,1.82,80.75,2025-09-23 18:06:48
gui-actor-3B+GOLD,resize_ablation,1.0,0.12,0,0.7,437,97.25,89.02,90.62,91.3,5.9152,0.2127,0.0006,6.1285,87.4,1.85,89.26,2025-09-23 18:24:33

gui-actor-2B+GOLD,resize_ratio,0.3,0.12,0,0.7,437,96.8,71.62,86.04,86.04,0.2549,0.2227,0.0001,0.4777,3.83,2.66,6.49,2025-09-24 17:29:20
gui-actor-2B+GOLD,resize_ratio,0.4,0.12,0,0.7,437,96.34,82.84,85.81,87.19,0.3926,0.1842,0.0002,0.5769,7.74,1.62,9.36,2025-09-24 17:44:27
gui-actor-2B+GOLD,resize_ratio,0.5,0.12,0,0.7,437,97.71,84.9,85.81,87.64,0.6128,0.1752,0.0002,0.7882,13.07,1.38,14.44,2025-09-24 18:02:37
gui-actor-2B+GOLD,resize_ratio,0.6,0.12,0,0.7,437,97.25,87.41,86.96,89.93,1.1054,0.1678,0.0003,1.2734,20.75,1.13,21.88,2025-09-24 18:27:11
gui-actor-2B+GOLD,resize_ratio,0.7,0.12,0,0.7,437,97.94,87.19,87.19,88.79,1.519,0.1663,0.0003,1.6857,31.48,1.12,32.6,2025-09-24 18:59:35
gui-actor-2B+GOLD,resize_ratio,0.8,0.12,0,0.7,437,98.17,88.79,86.96,89.24,2.8329,0.1665,0.0004,2.9998,46.08,1.0,47.08,2025-09-24 19:48:59
gui-actor-2B+GOLD,resize_ratio,0.9,0.12,0,0.7,437,97.71,89.24,85.35,87.64,3.5536,0.1654,0.0006,3.7196,65.51,0.96,66.47,2025-09-24 21:40:42
gui-actor-2B+GOLD,resize_ratio,1.0,0.12,0,0.7,437,97.94,88.79,85.58,89.24,4.9266,0.1691,0.0006,5.0963,72.9,1.02,73.93,2025-09-24 21:56:54
