method,resize_ratio,region_threshold,bbox_padding,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
vanilla,0,0,0,1272,0,0,0,79.46,0,0,0,0,0,0,9.82,0
vanilla,0,0,0,1272,0,0,0,82.03,0,0,0,0,0,0,13.02,0
vanilla,0,0,0,1272,0,0,0,84.75,0,0,0,0,0,0,17.54,0
vanilla,0,0,0,1272,0,0,0,85.4574,0,0,0,0,0,0,22.4936,0
vanilla,0,0,0,1272,0,0,0,87.0134,0,0,0,0,0,0,29.1741,0
vanilla,0,0,0,1272,0,0,0,87.7174,0,0,0,0,0,0,36.7505,0
vanilla,0,0,0,1272,0,0,0,88.7255,0,0,0,0,0,0,46.2923,0
vanilla,0,0,0,1272,0,0,0,89.03,0,0,0,0,0,0,57.96,0
vanilla,0,0,0,1272,0,0,0,89.8,0,0,0,0,0,0,70.0,0

vanilla,0.35,99,0,1272,0,0,0,77.44,0,0,0,0,0,0,6.48,0
vanilla,0.40,99,0,1272,0,0,0,80.58,0,0,0,0,0,0,8.42,0
vanilla,0.45,99,0,1272,0,0,0,82.86,0,0,0,0,0,0,10.66,0
vanilla,0.50,99,0,1272,0,0,0,85.3,0,0,0,0,0,0,13.58,0
vanilla,0.60,99,0,1272,0,0,0,88.05,0,0,0,0,0,0,20.74,0
vanilla,0.70,99,0,1272,0,0,0,89.78,0,0,0,0,0,0,30.48,0
vanilla,0.80,99,0,1272,0,0,0,90.09,0,0,0,0,0,0,43.39,0

v2,0.2,99,0,1272,0,0,0,55.03,0.2253,0,0,0,0,0,4.22
v2,0.3,77,0,1272,0,0,0,72.01,0,0,0,0,0,0.3011,8.09
v2,0.4,77,0,1272,0,0,0,80.19,0,0,0,0,0,0.4443,14.43
v2,0.5,77,0,1272,0,0,0,85.53,0,0,0,0,0,0.6789,23.26
v2,0.6,77,0,1272,0,0,0,87.81,0,0,0,0,0,1.0862,35.55
v2,0.7,77,0,1272,0,0,0,89.7,0,0,0,0,0,1.5401,52.15

final_0917,0.2,0.15,0,1272,94.42,55.35,84.59,85.06,0.2431,0.4785,0.0001,0.7216,2.5,7.91,10.42,2025-09-17 04:28:43
