method,resize_ratio,region_threshold,bbox_padding,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
final_0917,0.2,0.15,0,501,97.21,81.44,88.42,89.82,0.2472,0.3641,0.0001,0.6113,2.66,5.87,8.53,2025-09-17 04:15:42
final_0917,0.2,0.12,0,501,97.6,81.44,88.62,90.22,0.2449,0.4097,0.0001,0.6547,2.66,6.86,9.52,2025-09-17 04:16:05
final_0917,0.2,0.1,0,501,97.8,81.44,88.62,90.42,0.2429,0.4461,0.0001,0.689,2.66,7.74,10.4,2025-09-17 04:16:23
final_0917,0.2,0.07,0,501,98.8,81.44,88.42,90.22,0.2475,0.5659,0.0001,0.8134,2.66,9.99,12.65,2025-09-17 04:17:25
final_0917,0.2,0.15,10,501,97.41,81.44,88.22,89.62,0.2439,0.3716,0.0001,0.6156,2.66,6.24,8.9,2025-09-17 04:35:50
final_0917,0.2,0.12,10,501,97.8,81.44,87.82,89.22,0.2456,0.4212,0.0001,0.6669,2.66,7.25,9.91,2025-09-17 04:36:18
final_0917,0.2,0.1,10,501,98.0,81.44,87.62,89.62,0.242,0.4618,0.0001,0.7039,2.66,8.15,10.81,2025-09-17 04:38:57
final_0917,0.2,0.07,10,501,98.8,81.44,87.43,90.22,0.2447,0.576,0.0001,0.8208,2.66,10.45,13.11,2025-09-17 04:43:05
final_0917,0.2,0.15,20,501,97.41,81.44,87.82,89.02,0.244,0.3874,0.0001,0.6315,2.66,6.52,9.18,2025-09-17 04:56:12
final_0917,0.2,0.12,20,501,97.8,81.44,87.62,89.22,0.2457,0.4385,0.0001,0.6843,2.66,7.57,10.23,2025-09-17 04:56:47
final_0917,0.2,0.1,20,501,98.0,81.44,87.82,89.82,0.2433,0.4807,0.0001,0.7241,2.66,8.5,11.16,2025-09-17 05:01:54
final_0917,0.2,0.07,20,501,98.8,81.44,88.22,89.82,0.244,0.5941,0.0001,0.8382,2.66,10.84,13.5,2025-09-17 05:09:02
final_0917,0.2,0.15,30,501,97.41,81.44,87.82,89.62,0.2476,0.4014,0.0001,0.6491,2.66,6.86,9.52,2025-09-17 05:16:48
final_0917,0.2,0.12,30,501,97.8,81.44,87.82,90.02,0.2444,0.4455,0.0001,0.69,2.66,7.92,10.58,2025-09-17 05:17:35
final_0917,0.2,0.1,30,501,98.0,81.44,88.22,90.22,0.2402,0.4891,0.0001,0.7294,2.66,8.88,11.53,2025-09-17 05:25:10
final_0917,0.2,0.07,30,501,98.8,81.44,88.02,90.22,0.2467,0.6167,0.0001,0.8635,2.66,11.24,13.9,2025-09-17 05:35:29
final_0917,0.2,0.15,40,501,97.6,81.44,86.23,88.82,0.2442,0.4184,0.0001,0.6627,2.66,7.31,9.97,2025-09-17 05:37:57
final_0917,0.2,0.12,40,501,97.8,81.44,87.82,90.02,0.2483,0.4732,0.0001,0.7216,2.66,8.39,11.05,2025-09-17 05:38:50
final_0917,0.2,0.1,40,501,98.0,81.44,88.22,90.02,0.2436,0.5164,0.0001,0.76,2.66,9.37,12.03,2025-09-17 05:48:53
final_0917,0.2,0.15,50,501,97.6,81.44,86.23,88.42,0.2458,0.4353,0.0001,0.6812,2.66,7.71,10.37,2025-09-17 05:59:24
final_0917,0.2,0.12,50,501,97.8,81.44,86.83,89.02,0.2474,0.4934,0.0001,0.7408,2.66,8.82,11.48,2025-09-17 06:00:27
final_0917,0.2,0.07,40,501,98.8,81.44,86.83,89.42,0.2437,0.6404,0.0001,0.8842,2.66,11.8,14.46,2025-09-17 06:02:30
final_0917,0.2,0.1,50,501,98.0,81.44,88.22,90.02,0.2431,0.5335,0.0001,0.7766,2.66,9.84,12.5,2025-09-17 06:13:03
final_0917,0.25,0.15,0,501,96.81,86.83,88.82,91.02,0.2899,0.2841,0.0001,0.5741,3.74,4.13,7.87,2025-09-17 06:20:13
final_0917,0.25,0.12,0,501,97.21,86.83,88.22,90.42,0.292,0.3032,0.0001,0.5954,3.74,4.57,8.31,2025-09-17 06:21:12
final_0917,0.2,0.07,50,501,98.8,81.44,87.82,90.02,0.2455,0.6654,0.0001,0.911,2.66,12.29,14.95,2025-09-17 06:30:00
final_0917,0.25,0.1,0,501,97.6,86.83,88.42,90.62,0.2876,0.326,0.0001,0.6137,3.74,5.16,8.9,2025-09-17 06:36:01
final_0917,0.25,0.15,10,501,97.01,86.83,88.42,90.22,0.2931,0.3086,0.0001,0.6018,3.74,4.43,8.17,2025-09-17 06:38:05
final_0917,0.25,0.12,10,501,97.21,86.83,88.42,90.82,0.2881,0.3229,0.0001,0.6111,3.74,4.88,8.62,2025-09-17 06:39:39
final_0917,0.25,0.1,10,501,97.6,86.83,88.62,90.82,0.2847,0.3493,0.0001,0.6341,3.74,5.48,9.22,2025-09-17 06:54:42
final_0917,0.25,0.07,0,501,98.0,86.83,89.42,91.22,0.2866,0.3827,0.0001,0.6694,3.74,6.39,10.13,2025-09-17 06:55:39
final_0917,0.25,0.15,20,501,97.01,86.83,88.02,90.82,0.288,0.3144,0.0001,0.6024,3.74,4.68,8.42,2025-09-17 06:56:12
final_0917,0.25,0.12,20,501,97.21,86.83,88.42,90.82,0.288,0.3325,0.0001,0.6206,3.74,5.15,8.89,2025-09-17 06:58:22
final_0917,0.25,0.1,20,501,97.6,86.83,88.22,90.62,0.2865,0.3613,0.0001,0.6479,3.74,5.77,9.51,2025-09-17 07:13:41
final_0917,0.25,0.15,30,501,97.41,86.83,88.42,91.42,0.29,0.3238,0.0001,0.6138,3.74,4.96,8.7,2025-09-17 07:14:32
final_0917,0.25,0.07,10,501,98.0,86.83,90.02,91.62,0.2864,0.4091,0.0001,0.6955,3.74,6.74,10.48,2025-09-17 07:16:18
final_0917,0.25,0.12,30,501,97.41,86.83,89.02,91.62,0.2893,0.3439,0.0001,0.6332,3.74,5.44,9.18,2025-09-17 07:17:27
final_0917,0.25,0.1,30,501,97.8,86.83,88.62,90.82,0.2844,0.3725,0.0001,0.6569,3.74,6.09,9.83,2025-09-17 07:33:04
final_0917,0.25,0.15,40,501,97.41,86.83,89.02,90.62,0.287,0.3319,0.0001,0.619,3.74,5.34,9.08,2025-09-17 07:33:05
final_0917,0.25,0.12,40,501,97.41,86.83,87.82,90.42,0.2875,0.3545,0.0001,0.642,3.74,5.85,9.59,2025-09-17 07:36:47
final_0917,0.25,0.07,20,501,98.0,86.83,89.82,90.82,0.2887,0.4318,0.0001,0.7206,3.74,7.07,10.81,2025-09-17 07:37:31
final_0917,0.25,0.15,50,501,97.41,86.83,88.42,90.22,0.2877,0.3405,0.0001,0.6283,3.74,5.62,9.36,2025-09-17 07:51:51
final_0917,0.25,0.1,40,501,97.8,86.83,88.02,90.22,0.2881,0.3897,0.0001,0.6779,3.74,6.51,10.25,2025-09-17 07:52:49
final_0917,0.25,0.12,50,501,97.6,86.83,87.43,89.22,0.2866,0.3609,0.0001,0.6476,3.74,6.14,9.88,2025-09-17 07:56:18
final_0917,0.25,0.07,30,501,98.2,86.83,88.82,91.22,0.2863,0.4404,0.0001,0.7268,3.74,7.43,11.17,2025-09-17 07:58:54
final_0917,0.3,0.15,0,501,97.6,89.22,91.22,91.42,0.343,0.2589,0.0001,0.602,5.27,3.45,8.72,2025-09-17 08:10:25
