method,resize_ratio,region_threshold,bbox_padding,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
final_0917,0.2,0.15,0,437,92.22,48.51,81.92,81.92,0.2626,0.5757,0.0001,0.8384,2.89,9.41,12.3,2025-09-17 04:23:30
final_0917,0.2,0.12,0,437,92.91,48.51,84.67,84.21,0.2622,0.6637,0.0001,0.9261,2.89,11.09,13.98,2025-09-17 04:24:32
final_0917,0.2,0.1,0,437,93.59,48.51,84.67,84.21,0.2607,0.7262,0.0001,0.9869,2.89,12.28,15.17,2025-09-17 04:25:16
final_0917,0.2,0.07,0,437,95.19,48.51,86.27,86.27,0.2655,0.9159,0.0001,1.1815,2.89,15.46,18.35,2025-09-17 04:27:42
final_0917,0.2,0.15,10,437,92.68,48.51,81.01,81.92,0.2605,0.5941,0.0001,0.8547,2.89,9.91,12.8,2025-09-17 04:43:45
final_0917,0.2,0.12,10,437,93.14,48.51,83.07,83.07,0.2602,0.6823,0.0001,0.9425,2.89,11.61,14.5,2025-09-17 04:44:51
final_0917,0.2,0.1,10,437,93.82,48.51,84.21,83.98,0.2605,0.7437,0.0001,1.0043,2.89,12.83,15.72,2025-09-17 04:47:57
final_0917,0.2,0.07,10,437,95.19,48.51,86.27,86.96,0.2608,0.9324,0.0001,1.1932,2.89,16.08,18.96,2025-09-17 04:53:28
final_0917,0.2,0.15,20,437,92.91,48.51,82.15,82.61,0.2592,0.6066,0.0001,0.8658,2.89,10.36,13.24,2025-09-17 05:04:12
final_0917,0.2,0.12,20,437,93.36,48.51,82.84,83.75,0.2621,0.7049,0.0001,0.9671,2.89,12.07,14.95,2025-09-17 05:05:31
final_0917,0.2,0.1,20,437,94.05,48.51,83.98,83.98,0.2599,0.7721,0.0001,1.0321,2.89,13.31,16.2,2025-09-17 05:11:06
final_0917,0.2,0.07,20,437,95.19,48.51,85.35,85.58,0.2595,0.9626,0.0001,1.2222,2.89,16.55,19.44,2025-09-17 05:19:37
final_0917,0.2,0.15,30,437,92.91,48.51,83.07,82.84,0.2644,0.6307,0.0001,0.8952,2.89,10.66,13.55,2025-09-17 05:25:01
final_0917,0.2,0.12,30,437,93.36,48.51,83.75,84.21,0.2605,0.7265,0.0001,0.9871,2.89,12.41,15.3,2025-09-17 05:26:29
final_0917,0.2,0.1,30,437,94.05,48.51,84.21,84.9,0.257,0.7888,0.0001,1.0459,2.89,13.68,16.57,2025-09-17 05:34:29
final_0917,0.2,0.15,40,437,92.91,48.51,83.52,83.3,0.2624,0.6526,0.0001,0.9151,2.89,11.19,14.08,2025-09-17 05:46:18
final_0917,0.2,0.07,30,437,95.19,48.51,85.81,86.04,0.2624,0.9948,0.0001,1.2573,2.89,16.99,19.88,2025-09-17 05:46:21
final_0917,0.2,0.12,40,437,93.36,48.51,83.75,84.67,0.2641,0.7458,0.0001,1.0101,2.89,12.97,15.86,2025-09-17 05:47:53
final_0917,0.2,0.1,40,437,94.05,48.51,84.67,85.81,0.2589,0.8169,0.0001,1.0759,2.89,14.24,17.13,2025-09-17 05:58:25
final_0917,0.2,0.15,50,437,92.91,48.51,83.3,83.98,0.2623,0.6724,0.0001,0.9347,2.89,11.68,14.56,2025-09-17 06:07:54
final_0917,0.2,0.12,50,437,93.36,48.51,84.21,85.35,0.2647,0.7793,0.0001,1.0442,2.89,13.48,16.37,2025-09-17 06:09:45
final_0917,0.2,0.07,40,437,95.19,48.51,86.5,87.19,0.2622,1.0229,0.0001,1.2853,2.89,17.61,20.5,2025-09-17 06:13:34
final_0917,0.2,0.1,50,437,94.05,48.51,85.81,86.04,0.2582,0.8408,0.0001,1.0991,2.89,14.77,17.66,2025-09-17 06:22:44
final_0917,0.25,0.15,0,437,94.28,63.16,83.3,84.67,0.3218,0.3617,0.0001,0.6836,4.3,5.38,9.69,2025-09-17 06:26:53
final_0917,0.25,0.12,0,437,94.97,63.16,83.07,85.35,0.3221,0.395,0.0001,0.7172,4.3,6.12,10.42,2025-09-17 06:28:07
final_0917,0.2,0.07,50,437,95.42,48.51,85.81,86.5,0.2615,1.0377,0.0001,1.2993,2.89,18.17,21.06,2025-09-17 06:41:10
final_0917,0.25,0.1,0,437,95.19,63.16,84.21,85.58,0.3177,0.4287,0.0001,0.7465,4.3,6.86,11.17,2025-09-17 06:43:09
final_0917,0.25,0.15,10,437,94.51,63.16,85.35,84.67,0.3245,0.3843,0.0001,0.7088,4.3,5.65,9.96,2025-09-17 06:44:56
final_0917,0.25,0.12,10,437,94.97,63.16,86.04,85.35,0.3204,0.4195,0.0001,0.74,4.3,6.41,10.71,2025-09-17 06:46:43
final_0917,0.25,0.1,10,437,95.19,63.16,86.5,86.96,0.3146,0.4536,0.0001,0.7683,4.3,7.17,11.47,2025-09-17 07:01:58
final_0917,0.25,0.15,20,437,94.74,63.16,84.44,86.04,0.3206,0.3964,0.0001,0.7171,4.3,5.88,10.18,2025-09-17 07:03:07
final_0917,0.25,0.07,0,437,95.88,63.16,83.3,85.35,0.3184,0.4997,0.0001,0.8182,4.3,8.31,12.61,2025-09-17 07:03:19
final_0917,0.25,0.12,20,437,95.19,63.16,84.67,86.5,0.3204,0.4354,0.0001,0.7559,4.3,6.66,10.96,2025-09-17 07:05:33
final_0917,0.25,0.1,20,437,95.42,63.16,86.04,86.5,0.3185,0.4748,0.0001,0.7933,4.3,7.45,11.75,2025-09-17 07:21:10
final_0917,0.25,0.15,30,437,94.74,63.16,84.67,85.81,0.3207,0.4112,0.0001,0.732,4.3,6.27,10.57,2025-09-17 07:21:34
final_0917,0.25,0.07,10,437,95.88,63.16,85.81,86.5,0.3207,0.5331,0.0001,0.8539,4.3,8.63,12.93,2025-09-17 07:24:13
final_0917,0.25,0.12,30,437,95.19,63.16,85.35,86.5,0.3207,0.4518,0.0001,0.7726,4.3,7.08,11.39,2025-09-17 07:24:46
final_0917,0.25,0.15,40,437,94.74,63.16,86.5,87.41,0.3185,0.4241,0.0001,0.7427,4.3,6.63,10.93,2025-09-17 07:40:11
final_0917,0.25,0.1,30,437,95.42,63.16,85.58,86.73,0.3173,0.4918,0.0001,0.8092,4.3,7.91,12.21,2025-09-17 07:40:39
final_0917,0.25,0.12,40,437,95.42,63.16,86.27,86.96,0.3217,0.4659,0.0001,0.7877,4.3,7.46,11.76,2025-09-17 07:44:12
final_0917,0.25,0.07,20,437,96.11,63.16,85.58,86.27,0.3193,0.5533,0.0001,0.8727,4.3,8.94,13.25,2025-09-17 07:45:35
final_0917,0.25,0.15,50,437,94.74,63.16,85.58,86.5,0.3139,0.4278,0.0001,0.7417,4.3,7.03,11.33,2025-09-17 07:58:56
