idx,crop_time,num_crop,early_exit,num_selected_crop,s1_time,s1_tflops,s1_hit,s2_time,s2_tflops,s2_hit,total_time,total_flops_gflops,acc_uptonow,filename,instruction
1,0.235,2,🫥,1,2.885,5.30,✅,1.259,7.95,✅,4.379,13.25,100.00,mobile_1ca5b944-293a-46a1-af95-eb35bc8a0b2a,check the weather
2,0.215,2,🫥,1,0.332,5.30,✅,0.466,7.96,✅,1.013,13.25,100.00,mobile_1ca5b944-293a-46a1-af95-eb35bc8a0b2a,view world clock
3,0.201,2,🫥,1,0.328,5.31,✅,0.642,11.19,✅,1.170,16.49,100.00,mobile_1ca5b944-293a-46a1-af95-eb35bc8a0b2a,open facetime app
4,0.208,2,🫥,1,0.330,5.30,✅,0.610,11.19,✅,1.149,16.49,100.00,mobile_1ca5b944-293a-46a1-af95-eb35bc8a0b2a,open the camera
5,0.132,2,🫥,1,0.317,5.30,✅,0.587,10.53,❌,1.035,15.83,80.00,mobile_6949b916-64c8-431f-8842-a29a9a557641,view the menu
6,0.134,2,☑️,0,0.316,5.31,❌,0.000,0.00,❌,0.450,5.31,66.67,mobile_6949b916-64c8-431f-8842-a29a9a557641,select source language
7,0.138,2,🫥,1,0.316,5.31,✅,0.564,10.54,✅,1.018,15.85,71.43,mobile_6949b916-64c8-431f-8842-a29a9a557641,close the translation
8,0.140,2,☑️,0,0.320,5.32,✅,0.000,0.00,✅,0.460,5.32,75.00,mobile_702eab66-81f1-4aac-a252-37b5f7c3ae68,translate the input sentence
9,0.188,2,🫥,1,0.330,5.03,✅,0.910,13.31,✅,1.429,18.34,77.78,mobile_a1366f87-f1f1-402c-911a-d239eb60eac8,add a new file
10,0.184,2,🫥,1,0.317,5.03,✅,0.687,13.32,✅,1.188,18.35,80.00,mobile_a1366f87-f1f1-402c-911a-d239eb60eac8,click the search bar
11,0.195,2,🫥,1,0.321,5.05,✅,0.410,6.20,✅,0.927,11.24,81.82,mobile_a1366f87-f1f1-402c-911a-d239eb60eac8,view the settings in this app
12,0.170,2,🫥,1,0.330,5.03,✅,0.705,13.34,✅,1.205,18.37,83.33,mobile_a1366f87-f1f1-402c-911a-d239eb60eac8,check shared files
13,0.153,5,☑️,0,0.401,5.07,✅,0.000,0.00,✅,0.554,5.07,84.62,mobile_c71efbd9-cd10-4564-949e-50b3b034328a,add an event
